,ID,gender_male,city,email_action
35,0D38D7F3-C548-4131-8C39-030CD2B3ECC7,-1,NA,
36,14F1E6EE-D014-4417-AB1C-031ED3B5E2A3,0,москва,2022-07-18 16:29:29
37,144E3CE0-C3DD-4E65-8CA0-032BB1B4D675,1,москва,2022-07-11 17:26:02
38,1E50EAB4-4370-4F58-B9BE-038B3C8EB12F,-1,москва,2022-07-18 16:29:29
39,7AD67D69-29C7-4A00-8179-03A8C9E4CFD8,-1,NA,2022-07-18 16:29:49
40,B1C8772F-AC45-4C80-85C0-03ADB44ED7D0,0,NA,
41,D504D0CE-40BD-49C6-9E31-03D0F89F62C8,-1,москва,
42,C13207D3-E71A-4B6D-A9EF-03D6D1AE4F9B,-1,NA,
43,716FD059-9288-41C8-BAF6-03DA6E3E179B,0,NA,
44,A549E644-B7D5-47F9-8E78-03DF02116A2A,0,NA,
45,9EB8D0CB-5AAC-4F96-82AB-03FDAF3488DC,0,NA,
46,C3FEBA9D-A9B5-4CC2-B97E-040E552C2C66,-1,NA,2022-07-18 16:29:48
47,74345E48-00ED-41C4-A08D-04182B18079F,0,NA,
48,0CB8AC78-1325-43ED-AC95-041B6B4F8682,1,москва,2021-12-13 16:08:33
49,2F483D69-A84A-4E3C-8E08-0443CB466248,0,NA,
50,699D76D6-8691-469F-8087-04444A7CE427,1,бирск,
51,F5123548-AA2A-4DA5-B4ED-0448563C650A,-1,NA,2022-07-18 16:29:32
52,8AB73BB9-FA4F-4260-B757-0449888981A4,-1,NA,
53,1422F107-3E14-4EA1-8879-048B985646F4,0,NA,
54,BE16BA7F-4083-43AB-8130-04907A88F5DB,-1,NA,2022-07-23 12:12:26
55,C9E7D95B-1ED7-4C2E-B570-04B7BEB284BC,-1,NA,2022-07-18 16:29:48
56,CE195623-FA69-4A3F-A6E9-04BE79F24062,0,NA,
57,07192C4D-B2DD-4913-8332-04CC78ACD97C,0,NA,
58,F44CC68B-CB2A-4955-9EE1-04D8A60DE820,1,казань,
59,E674AED9-A1F1-4323-9714-04E32CA30BCB,-1,ижевск,
60,85109FF3-0312-4E41-BCED-05061894DD09,0,NA,
61,9B65B6F3-A96E-4610-89DA-050BD4F1A7E3,-1,southall,2022-07-18 16:29:29
62,614B84C9-0468-46D2-AE49-051100393345,1,засечное,
